iter	RMSE
0	14.70760694
1	14.32686544
2	13.93263946
3	13.55135061
4	13.20436955
5	12.86282329
6	12.53968223
7	12.21962343
8	11.91793788
9	11.62257185
10	11.33612912
11	11.0738462
12	10.8166929
13	10.55774771
14	10.32344784
15	10.08043569
16	9.868101208
17	9.667950858
18	9.457660807
19	9.264972403
20	9.096745814
21	8.930420235
22	8.772832639
23	8.614571246
24	8.468531572
25	8.342837225
26	8.212275794
27	8.093681418
28	7.964394361
29	7.84720826
30	7.744432394
31	7.629532247
32	7.523783899
33	7.423202763
34	7.328714024
35	7.247114587
36	7.159436195
37	7.081306398
38	6.99584389
39	6.922103771
40	6.854673435
41	6.781469748
42	6.719706269
43	6.663508542
44	6.606369644
45	6.551133151
46	6.486690831
47	6.438163583
48	6.38129738
49	6.332852944
50	6.283987819
51	6.235594569
52	6.195775766
53	6.156299396
54	6.119123546
55	6.081649385
56	6.045245776
57	6.015823956
58	5.98668402
59	5.95970455
60	5.935743305
61	5.899984588
62	5.872266971
63	5.842046482
64	5.816456632
65	5.791669128
66	5.767985989
67	5.744888833
68	5.723824611
69	5.701938972
70	5.679607424
71	5.663807939
72	5.645018622
73	5.62500266
74	5.606494262
75	5.590548999
76	5.577354595
77	5.561742881
78	5.547447274
79	5.529382088
80	5.516345555
81	5.505643825
82	5.493235726
83	5.481834996
84	5.46753995
85	5.451782935
86	5.440780931
87	5.43199011
88	5.421114862
89	5.406029769
90	5.396219884
91	5.386458114
92	5.374472569
93	5.369180977
94	5.361348357
95	5.35097339
96	5.342324879
97	5.333946804
98	5.324281026
99	5.31638035
100	5.307954981
101	5.299525318
102	5.292315135
103	5.283124864
104	5.275520853
105	5.265890091
106	5.254400906
107	5.248987638
108	5.243902076
109	5.237198701
110	5.230517514
111	5.225012858
112	5.217380464
113	5.214099828
114	5.206287108
115	5.200320517
116	5.193492498
117	5.190025907
118	5.184464355
119	5.179878402
120	5.175556816
121	5.170556116
122	5.165956012
123	5.161758927
124	5.159676312
125	5.154519763
126	5.15147156
127	5.145123203
128	5.140920833
129	5.13724013
130	5.132327033
131	5.128838967
132	5.120251626
133	5.116893336
134	5.109761437
135	5.107034795
136	5.102810574
137	5.100840873
138	5.096238155
139	5.089414875
140	5.085159135
141	5.083651701
142	5.079256737
143	5.072504195
144	5.069463853
145	5.067929931
146	5.065768767
147	5.063000081
148	5.05911775
149	5.056248403
150	5.052782083
151	5.048048007
152	5.043531514
153	5.036812917
154	5.033429047
155	5.032287942
156	5.028550103
157	5.026774899
158	5.020863048
159	5.014499871
160	5.012231942
161	5.007234287
162	5.001155131
163	4.998138175
164	4.995022611
165	4.990006452
166	4.988192
167	4.984163685
168	4.981162335
169	4.975316452
170	4.970389025
171	4.967267846
172	4.961370572
173	4.958982097
174	4.956414513
175	4.953015339
176	4.951381583
177	4.946806156
178	4.94403606
179	4.940299351
180	4.934514735
181	4.932168106
182	4.929043873
183	4.923487041
184	4.919371753
185	4.915215386
186	4.913140041
187	4.909906576
188	4.907289339
189	4.905021166
190	4.902267321
191	4.898795818
192	4.897757432
193	4.89233188
194	4.88945999
195	4.88674376
196	4.883982788
197	4.881066147
198	4.877127703
199	4.874708622
200	4.871869396
201	4.870743016
202	4.867569183
203	4.863936333
204	4.859686335
205	4.854552559
206	4.849323226
207	4.84593836
208	4.844025972
209	4.840965759
210	4.834155684
211	4.832808693
212	4.831351835
213	4.827905791
214	4.825262402
215	4.823532699
216	4.821047911
217	4.816722672
218	4.812640829
219	4.810200305
220	4.803324526
221	4.800266411
222	4.794851957
223	4.790109882
224	4.786250982
225	4.784222954
226	4.777778629
227	4.773417948
228	4.769177845
229	4.766746608
230	4.762296294
231	4.7596391
232	4.756773952
233	4.754307373
234	4.748909709
235	4.74527578
236	4.74167466
237	4.739495165
238	4.736877586
239	4.734307112
240	4.732226714
241	4.731049614
242	4.72858348
243	4.724232562
244	4.719148343
245	4.714115326
246	4.711093266
247	4.709443445
248	4.704467513
249	4.701542796
250	4.699322731
251	4.696584065
252	4.691599229
253	4.686066432
254	4.684994041
255	4.682783485
256	4.678808638
257	4.674112972
258	4.672810129
259	4.669761729
260	4.66386161
261	4.661218099
262	4.657289461
263	4.655134348
264	4.652922545
265	4.648480048
266	4.645685807
267	4.641584244
268	4.636374477
269	4.631667556
270	4.629299618
271	4.626069446
272	4.620231418
273	4.616692734
274	4.614295879
275	4.61173514
276	4.609618698
277	4.604203859
278	4.601468556
279	4.598124332
280	4.595791912
281	4.59416566
282	4.592647178
283	4.591642966
284	4.586898409
285	4.583472355
286	4.581073042
287	4.579197002
288	4.576044494
289	4.573597671
290	4.57230761
291	4.567775387
292	4.56677637
293	4.565980422
294	4.564015854
295	4.559981717
296	4.556889084
297	4.553765998
298	4.550248357
299	4.544629756
300	4.542210759
301	4.538216752
302	4.535796227
303	4.534597958
304	4.53007541
305	4.527585658
306	4.526602377
307	4.521853777
308	4.518944716
309	4.514640924
310	4.511544458
311	4.509380253
312	4.505880894
313	4.50474032
314	4.500346838
315	4.496421928
316	4.494043012
317	4.491130981
318	4.489978639
319	4.487454902
320	4.483856362
321	4.481869668
322	4.477871449
323	4.4737137
324	4.470656194
325	4.468412417
326	4.468227808
327	4.466375284
328	4.464583651
329	4.461056743
330	4.459462894
331	4.459147368
332	4.456192182
333	4.45497269
334	4.453952759
335	4.450049792
336	4.444830085
337	4.444575844
338	4.444154869
339	4.439049183
340	4.43394447
341	4.42933066
342	4.42482916
343	4.422126411
344	4.416389769
345	4.415625596
346	4.413914027
347	4.411194343
348	4.40667889
349	4.404003844
350	4.398194304
351	4.394211448
352	4.392328417
353	4.388111821
354	4.386001479
355	4.382550284
356	4.377745741
357	4.377034457
358	4.374843379
359	4.373734788
360	4.368183234
361	4.3638378
362	4.360373635
363	4.357292591
364	4.354362827
365	4.352012871
366	4.349667848
367	4.345792612
368	4.344120819
369	4.342032045
370	4.338838372
371	4.337055565
372	4.333391322
373	4.330850406
374	4.327541921
375	4.324296054
376	4.321660992
377	4.318318757
378	4.314812312
379	4.312029783
380	4.309905719
381	4.308344368
382	4.308183249
383	4.306313382
384	4.305377173
385	4.30349375
386	4.302450886
387	4.301526735
388	4.301261951
389	4.300005405
390	4.297406979
391	4.296766977
392	4.293815206
393	4.292327616
394	4.288533502
395	4.287877043
396	4.28694598
397	4.286381514
398	4.281308079
399	4.281115133
400	4.280662823
401	4.277719436
402	4.274298253
403	4.271342664
404	4.267249848
405	4.265652308
406	4.264896301
407	4.262959526
