iter	Passed	Remaining
0	2	2113
1	3	1748
2	4	1572
3	6	1560
4	7	1514
5	9	1515
6	10	1517
7	12	1493
8	13	1471
9	15	1495
10	16	1516
11	18	1530
12	20	1530
13	24	1698
14	25	1674
15	27	1674
16	29	1685
17	30	1662
18	31	1646
19	33	1635
20	35	1638
21	38	1693
22	40	1712
23	42	1716
24	43	1714
25	45	1699
26	47	1706
27	48	1694
28	53	1782
29	55	1785
30	57	1811
31	59	1804
32	65	1927
33	75	2132
34	76	2121
35	82	2208
36	88	2298
37	90	2291
38	97	2394
39	100	2416
40	102	2405
41	104	2390
42	106	2375
43	111	2426
44	113	2419
45	117	2430
46	119	2427
47	121	2410
48	123	2403
49	126	2404
50	133	2482
51	135	2466
52	137	2455
53	146	2561
54	149	2563
55	151	2552
56	157	2611
57	162	2643
58	164	2625
59	167	2617
60	172	2661
61	177	2680
62	179	2669
63	181	2650
64	182	2630
65	186	2645
66	188	2629
67	191	2620
68	193	2615
69	196	2606
70	200	2628
71	204	2638
72	206	2624
73	209	2617
74	211	2603
75	216	2629
76	217	2611
77	221	2618
78	223	2606
79	225	2591
80	227	2577
81	231	2595
82	232	2570
83	238	2599
84	240	2585
85	242	2576
86	247	2602
87	252	2620
88	254	2608
89	256	2596
90	258	2584
91	263	2598
92	265	2585
93	270	2605
94	271	2590
95	274	2581
96	277	2582
97	279	2567
98	281	2565
99	284	2557
100	286	2549
101	288	2542
102	291	2539
103	295	2544
104	297	2532
105	298	2520
106	300	2506
107	301	2493
108	307	2516
109	310	2516
110	312	2505
111	314	2492
112	316	2480
113	317	2470
114	321	2476
115	323	2468
116	325	2455
117	329	2461
118	334	2472
119	338	2482
120	341	2482
121	343	2469
122	351	2504
123	356	2520
124	358	2512
125	361	2506
126	366	2520
127	368	2511
128	375	2534
129	381	2550
130	383	2542
131	385	2536
132	387	2529
133	392	2539
134	404	2590
135	406	2580
136	412	2597
137	417	2610
138	426	2641
139	432	2656
140	436	2659
141	438	2648
142	444	2662
143	447	2662
144	451	2660
145	457	2674
146	460	2672
147	462	2662
148	464	2653
149	466	2643
150	472	2654
151	474	2647
152	476	2637
153	478	2628
154	480	2619
155	486	2629
156	490	2632
157	493	2629
158	495	2622
159	497	2613
160	501	2611
161	503	2605
162	508	2610
163	511	2606
164	514	2601
165	517	2598
166	519	2591
167	524	2599
168	527	2593
169	531	2597
170	535	2596
171	538	2592
172	541	2590
173	545	2591
174	549	2591
175	552	2585
176	555	2584
177	559	2585
178	562	2581
179	565	2577
180	567	2570
181	571	2569
182	577	2576
183	582	2583
184	584	2573
185	585	2563
186	592	2575
187	595	2574
188	597	2565
189	601	2562
190	603	2554
191	605	2548
192	609	2550
193	611	2542
194	613	2534
195	615	2525
196	618	2522
197	625	2532
198	627	2524
199	629	2516
200	633	2516
201	636	2513
202	639	2508
203	640	2500
204	642	2492
205	644	2483
206	646	2475
207	654	2490
208	656	2482
209	658	2475
210	660	2467
211	666	2477
212	668	2469
213	670	2462
214	672	2454
215	673	2444
216	674	2435
217	676	2426
218	678	2418
219	681	2417
220	684	2411
221	686	2404
222	687	2395
223	689	2387
224	690	2377
225	691	2368
226	693	2359
227	696	2357
228	698	2350
229	699	2342
230	701	2334
231	702	2326
232	703	2317
233	705	2308
234	706	2300
235	708	2294
236	710	2288
237	712	2282
238	714	2274
239	715	2266
240	716	2257
241	718	2250
242	720	2243
243	721	2236
244	723	2230
245	726	2225
246	727	2218
247	729	2211
248	730	2204
249	732	2196
250	733	2189
251	735	2182
252	737	2176
253	740	2174
254	744	2175
255	746	2168
256	747	2160
257	748	2153
258	749	2145
259	755	2151
260	758	2147
261	760	2141
262	762	2135
263	764	2132
264	773	2145
265	775	2140
266	779	2139
267	781	2133
268	783	2127
269	788	2130
270	790	2125
271	791	2118
272	793	2112
273	794	2105
274	796	2100
275	798	2093
276	799	2086
277	803	2085
278	804	2080
279	806	2073
280	807	2067
281	809	2060
282	810	2054
283	812	2047
284	813	2040
285	815	2036
286	817	2031
287	819	2026
288	821	2020
289	822	2013
290	824	2009
291	826	2003
292	828	1998
293	829	1992
294	832	1988
295	833	1982
296	835	1976
297	836	1971
298	839	1967
299	840	1961
300	842	1955
301	843	1949
302	847	1950
303	849	1945
304	852	1942
305	854	1938
306	856	1933
307	857	1927
308	859	1921
309	861	1918
310	863	1913
311	865	1907
312	866	1901
313	867	1895
314	868	1889
315	870	1883
316	871	1877
317	872	1871
318	873	1865
319	875	1859
320	876	1853
321	877	1848
322	878	1842
323	880	1836
324	881	1830
325	882	1825
326	883	1819
327	885	1813
328	886	1807
329	887	1801
330	888	1795
331	890	1791
332	891	1786
333	893	1781
334	894	1775
335	896	1770
336	897	1766
337	899	1760
338	900	1755
339	901	1749
340	902	1744
341	904	1739
342	905	1735
343	907	1730
344	908	1725
345	910	1720
346	911	1715
347	912	1709
348	913	1704
349	914	1699
350	915	1693
351	917	1688
352	918	1683
353	920	1679
354	921	1674
355	922	1669
356	924	1664
357	925	1659
358	926	1654
359	927	1649
360	928	1644
361	930	1639
362	931	1634
363	932	1629
364	934	1625
365	936	1621
366	937	1616
367	938	1611
368	939	1606
369	940	1601
370	941	1597
371	943	1592
372	944	1587
373	945	1582
374	946	1577
375	947	1572
376	949	1569
377	952	1567
378	954	1563
379	955	1559
380	956	1554
381	958	1550
382	960	1546
383	961	1542
384	962	1537
385	964	1534
386	967	1532
387	968	1527
388	969	1522
389	970	1518
390	971	1513
391	972	1509
392	974	1504
393	975	1500
394	976	1495
395	977	1491
396	979	1488
397	981	1484
398	982	1479
399	983	1475
400	984	1471
401	986	1466
402	987	1462
403	988	1457
404	989	1453
405	990	1449
406	991	1444
407	994	1442
408	995	1438
409	996	1434
410	998	1430
411	999	1426
412	1000	1421
413	1001	1417
414	1002	1413
415	1003	1409
416	1004	1404
417	1006	1400
418	1007	1397
419	1009	1393
420	1010	1389
421	1011	1385
422	1012	1381
423	1014	1377
424	1015	1373
425	1016	1369
